County,Population,Area (sq mi)
Adams County,32297,460
Alcorn County,37057,400
Amite County,13131,730
Attala County,19564,735
Benton County,8729,407
Bolivar County,34145,876
Calhoun County,14962,587
Carroll County,10597,628
Chickasaw County,17392,502
Choctaw County,8547,419
Claiborne County,9604,487
Clarke County,16732,691
Clay County,20634,409
Coahoma County,26151,554
Copiah County,29449,777
Covington County,19568,414
DeSoto County,161252,478
Forrest County,74934,467
Franklin County,8118,565
George County,22578,478
Greene County,14400,713
Grenada County,21906,422
Hancock County,43929,477
Harrison County,187105,581
Hinds County,245285,869
Holmes County,19198,756
Humphreys County,9375,418
Issaquena County,1406,413
Itawamba County,23401,532
Jackson County,139668,727
Jasper County,17062,676
Jefferson County,7726,519
Jefferson Davis County,12487,408
Jones County,67761,694
Kemper County,10456,766
Lafayette County,47351,631
Lamar County,55658,497
Lauderdale County,80261,704
Lawrence County,12929,431
Leake County,23805,583
Lee County,82910,450
Leflore County,32317,592
Lincoln County,34869,586
Lowndes County,59779,502
Madison County,95203,719
Marion County,27088,542
Marshall County,37144,706
Monroe County,36989,764
Montgomery County,10925,407
Neshoba County,29676,570
Newton County,21720,578
Noxubee County,11545,695
Oktibbeha County,47671,458
Panola County,34707,684
Pearl River County,55834,812
Perry County,12250,647
Pike County,40404,409
Pontotoc County,29957,497
Prentiss County,25276,415
Quitman County,8223,405
Rankin County,141617,775
Scott County,28264,609
Sharkey County,4916,428
Simpson County,27503,589
Smith County,16491,636
Stone County,17786,445
Sunflower County,29450,694
Tallahatchie County,15378,644
Tate County,28886,404
Tippah County,22232,458
Tishomingo County,19593,424
Tunica County,10778,455
Union County,27134,416
Walthall County,15443,404
Warren County,48773,587
Washington County,51137,724
Wayne County,20747,810
Webster County,10253,423
Wilkinson County,9878,677
Winston County,19198,607
Yalobusha County,12678,467
Yazoo County,28065,920
